ClienteCPF;ClienteNome;ClienteSobrenome;ClienteSexo;ClienteNascimento;ClienteEstadoCivil;ClienteRua;ClienteNumero;ClienteBairro;ClienteCEP;ClienteCidade;ClienteEstado;ClientePais;ClienteRendaAnual;ClienteTelefone;ClienteEmail
277.674.372-50;Jon;Yang;M;1980-11-13 00:00:00.000;S;RUA DO PRINCIPE;330;CENTRO;89223140;JOINVILLE;SC;BRASIL;90000;1 (11) 500 555-0162;jon24@adventure-works.com
882.659.990-64;Eugene;Huang;M;1980-02-19 00:00:00.000;C;PARANA;313;ANITA GARIBALDI;89223251;JOINVILLE;SC;BRASIL;60000;1 (11) 500 555-0110;eugene10@adventure-works.com
284.764.650-53;Ruben;Torres;M;1981-02-23 00:00:00.000;S;HELENA DEGELMANN;524;COSTA E SILVA;89227017;JOINVILLE;SC;BRASIL;60000;1 (11) 500 555-0184;ruben35@adventure-works.com
867.906.272-81;Christy;Zhu;F;1981-08-01 00:00:00.000;C;CONSELHEIRO ARP;657;CENTRO;89212001;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0162;christy12@adventure-works.com
074.545.253-56;Elizabeth;Johnson;F;1982-05-10 00:00:00.000;S;PAULO SCHLEMM;42;ANITA GARIBALDI;89217270;JOINVILLE;SC;BRASIL;80000;1 (11) 500 555-0131;elizabeth5@adventure-works.com
739.140.515-17;Julio;Ruiz;M;1982-11-05 00:00:00.000;S;COPACABANA;580;NOVA BRASILIA;89225420;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0151;julio1@adventure-works.com
067.532.733-40;Janet;Alvarez;F;1980-10-28 00:00:00.000;S;BABITONGA;466;FLORESTA;89223250;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0184;janet9@adventure-works.com
000.986.929-91;Marco;Mehta;M;1981-06-05 00:00:00.000;S;CORONEL SANTIAGO;643;ANITA GARIBALDI;89227320;JOINVILLE;SC;BRASIL;60000;1 (11) 500 555-0126;marco14@adventure-works.com
232.471.125-18;Rob;Verhoff;F;1981-09-22 00:00:00.000;C;XV DE NOVEMBRO;1023;CENTRO;89204020;JOINVILLE;SC;BRASIL;60000;1 (11) 500 555-0164;rob4@adventure-works.com
860.050.864-87;Shannon;Carlson;M;1982-07-23 00:00:00.000;S;ALEXANDRE SCHLEMM;400;BUCAREIN;89223270;JOINVILLE;SC;BRASIL;70000;1 (11) 500 555-0110;shannon38@adventure-works.com
